Load_name,Bus_name,Phase,P,Q
AGL73Q_417796552-L_B,1031799619,2,14.4,-1.1
AGL73Q_417796552-L_C,1031799619,3,8.1,12
AGL76_417754031-L_A,1031652261,1,30,14.5
AGL76_417754031-L_B,1031652261,2,30,14.5
AGL76_417754031-L_C,1031652261,3,30,14.5
AGL77_417751698-L_A,1031562933,1,30,14.5
AGL77_417751698-L_B,1031562933,2,30,14.5
AGL77_417751698-L_C,1031562933,3,30,14.5
59321_417754496-L_B,1031681283,2,6,2.9
HBJ07_417830256-L_A,1031248944,1,60,29.1
HBJ07_417830256-L_B,1031248944,2,60,29.1
HBJ07_417830256-L_C,1031248944,3,60,29.1
HAV84_417889933-L_A,1032229999,1,30,14.5
HAV84_417889933-L_B,1032229999,2,30,14.5
HAV84_417889933-L_C,1032229999,3,30,14.5
AGL86_417752447-L_B,1031576766,2,6,2.9
HAS10_417831182-L_A,1031248800,1,100,48.4
HAS10_417831182-L_B,1031248800,2,100,48.4
HAS10_417831182-L_C,1031248800,3,100,48.4
HAS11_417829717-L_A,1031967363,1,60,29.1
HAS11_417829717-L_B,1031967363,2,60,29.1
HAS11_417829717-L_C,1031967363,3,60,29.1
HAS13_417888489-L_A,1032146895,1,15,7.3
HAS13_417888489-L_B,1032146895,2,15,7.3
HAS13_417888489-L_C,1032146895,3,15,7.3
HAS14_417890977-L_A,1032310302,1,30,14.5
HAS14_417890977-L_B,1032310302,2,30,14.5
HAS14_417890977-L_C,1032310302,3,30,14.5
HAS15_417889954-L_A,1032230143,1,30,14.5
HAS15_417889954-L_B,1032230143,2,30,14.5
HAS15_417889954-L_C,1032230143,3,30,14.5
AGM28_417889499-L_A,1032226963,1,15,7.3
AGM28_417889499-L_B,1032226963,2,15,7.3
AGM28_417889499-L_C,1032226963,3,15,7.3
AGM27_417830801-L_A,1032052241,1,30,14.5
AGM27_417830801-L_B,1032052241,2,30,14.5
AGM27_417830801-L_C,1032052241,3,30,14.5
AGM26_417830292-L_A,1032005738,1,15,7.3
AGM26_417830292-L_B,1032005738,2,15,7.3
AGM26_417830292-L_C,1032005738,3,15,7.3
AGM25_417889146-L_A,1032181550,1,30,14.5
AGM25_417889146-L_B,1032181550,2,30,14.5
AGM25_417889146-L_C,1032181550,3,30,14.5
AGM24_417831763-L_A,1032114802,1,30,14.5
AGM24_417831763-L_B,1032114802,2,30,14.5
AGM24_417831763-L_C,1032114802,3,30,14.5
AGM29_417889443-L_B,1032226568,2,60,29.1
AGM30_417888641-L_A,1032147954,1,30,14.5
AGM30_417888641-L_B,1032147954,2,30,14.5
AGM30_417888641-L_C,1032147954,3,30,14.5
AGM31_417831593-L_A,1032074961,1,60,12.2
AGM32_417888340-L_A,1032145852,1,33.4,16.2
AGM32_417888340-L_B,1032145852,2,33.4,16.2
AGM32_417888340-L_C,1032145852,3,33.4,16.2
AGM37_417890312-L_A,1032271295,1,30,14.5
